Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
13,ACCOMODATION,NORTHERN,GULU,AGWEE,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,500000
15,ACCOMODATION,NORTHERN,GULU,FOR GOD,English,Manager,,35-50,Male,Ugandan,Accommodation,Food and beverage service activities,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,8000000
20,ACCOMODATION,NORTHERN,GULU,LABOUR LINE,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,3,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,5000000
21,INFORMATION & COMMUNICATION,NORTHERN,GULU,QUEEN S AVENUE,English,Owner,,35-50,Female,Ugandan,Education,"Computer programming, consultancy and related activities",5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
26,REAL ESTATE,WESTERN,HOIMA,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,Activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,15,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,No,1,1,1000000
34,FOOD PROCESSING,NORTHERN,DOKOLO,CENTRAL WARD,Luo,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,1000000
36,EDUCATION & HEALTH,NORTHERN,DOKOLO,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",Education,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
37,FOOD PROCESSING,WESTERN,RUKUNGIRI,RWENSHAMA,English,Owner,,50+,Male,Ugandan,Food and beverage service activities,,20,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,150000
38,AGRICULTURE,WESTERN,NTUNGAMO,ITERERO,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,14,Partnership,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1000000
40,AGRICULTURE,EASTERN,JINJA,NAWAMPANDA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,9,Partnership,,Home,,Yes,Yes,1,1,4860000
41,ACCOMODATION,NORTHERN,LIRA,BAZZAR,English,Manager,,25-34,Male,Ugandan,Food and beverage service activities,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,4000000
42,EDUCATION & HEALTH,NORTHERN,LIRA,SENIOR QUARTERS,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,16,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,20000000
43,ACCOMODATION,NORTHERN,LIRA,SENIOR QUARTERS,English,Manager,,35-50,Female,Ugandan,Food and beverage service activities,,10,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
44,EDUCATION & HEALTH,NORTHERN,LIRA,TESO A,English,Owner,,50+,Male,Ugandan,Education,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
45,INFORMATION & COMMUNICATION,NORTHERN,LIRA,BLUE CORNER,English,Owner,,25-34,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,500000
49,OTHER MANUFACTURING,CENTRAL,WAKISO,NANSANA EAST,Luganda,Manager,,35-50,Male,Ugandan,Rental and leasing activities,Real estate activities,16,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,55000000
50,OTHER MANUFACTURING,CENTRAL,WAKISO,KIWAFU,English,Owner,,25-34,Male,Ugandan,Repair and installation of machinery and equipment,Education,10,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,2000000
51,FINANCIAL,WESTERN,KAMWENGE,KAMWENGE WARD,English,Manager,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,14,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,116000000
54,REAL ESTATE,KAMPALA,KAMPALA,KANSANGA,English,Owner,,35-50,Male,Ugandan,Rental and leasing activities,,8,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
59,FOOD PROCESSING,CENTRAL,WAKISO,MAGANJO,Luganda,Owner,,35-50,Male,Ugandan,Education,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
62,OTHER MANUFACTURING,KAMPALA,KAMPALA,NAKULABYE,Luganda,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,25,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,1000000
63,RECREATION & PERSONAL,WESTERN,BUSHENYI,KYAMUHUNGA,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,30,Single owner/sole proprietorship,,Farm,,No,No,0,0,200000
64,AGRICULTURE,CENTRAL,LUWERO,LUWERO CENTRAL,Luganda,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Home,,No,No,0,0,4000000
65,EDUCATION & HEALTH,WESTERN,BUNDIBUGYO,NTOTORO BUGANDO,English,Manager,,35-50,Male,Ugandan,Scientific research and development,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,9225000
,,,,,,,,,,,,,,,,,,,,,,
68,AGRICULTURE,WESTERN,MBARARA,NYEIHANGA,English,Owner,,35-50,Female,Ugandan,Repair and installation of machinery and equipment,,5,Partnership,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,450000
,,,,,,,,,,,,,,,,,,,,,,
70,OTHER MANUFACTURING,CENTRAL,WAKISO,KYENGERA,Luganda,Manager,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,17,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,1,1,4300000
72,AGRICULTURE,WESTERN,RUKUNGIRI,RWENSHAMA,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,12,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1500000
75,REAL ESTATE,CENTRAL,WAKISO,KITEEZI,Luganda,Owner,,50+,Male,Ugandan,Repair of computers and personal and household goods,Construction of buildings,5,Single owner/sole proprietorship,,Home,,No,No,0,0,1200000
78,AGRICULTURE,WESTERN,KABAROLE,BURUNGU,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,20,Partnership,,Home,,Yes,Yes,0,0,1000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,AGRICULTURE,WESTERN,KASESE,BWERA WARD,English,Manager,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",Activities of head offices; management consultancy activities,23,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
85,FINANCIAL,WESTERN,KAMWENGE,BUSINGYE,English,Owner,,35-50,Female,Ugandan,Gambling and betting activities,,8,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,3000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,OTHER MANUFACTURING,WESTERN,KABAROLE,KYAMUKOKA,English,Owner,,35-50,Male,Ugandan,Specialized construction activities,,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,13240000
91,EDUCATION & HEALTH,WESTERN,KASESE,BWERA WARD,English,Owner,,50+,Female,Ugandan,Education,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,300000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
103,TRADING,NORTHERN,ARUA,PANGISA,English,Manager,,35-50,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
104,TRADING,KAMPALA,KAMPALA,MBUYA I,English,Owner,,35-50,Male,Ugandan,Human health activities,,5,Single owner/sole proprietorship,,Home,,Yes,Yes,0,1,10000000
105,ACCOMODATION,NORTHERN,ARUA,BAZAAR WARD,English,Manager,,50+,Male,Ugandan,Food and beverage service activities,Food and beverage service activities,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
110,FISHING,CENTRAL,MASAKA,NYENDO,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,3200000
111,FISHING,CENTRAL,KALANGALA,MULABANA,English,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,10,Single owner/sole proprietorship,,Home,,No,No,0,0,1000000
112,ACCOMODATION,CENTRAL,MPIGI,WARD A,English,Manager,,35-50,Female,Ugandan,Repair and installation of machinery and equipment,,5,Single owner/sole proprietorship,,Home,,Yes,No,0,0,6000000
113,FISHING,CENTRAL,MASAKA,NYENDO,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1300000
114,TRADING,NORTHERN,NEBBI,PARWO,English,Manager,,25-34,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,700000
,,,,,,,,,,,,,,,,,,,,,,
117,EDUCATION & HEALTH,CENTRAL,MPIGI,BUKASA/KAYABWE,English,Owner,,25-34,Female,Ugandan,Education,,4,Single owner/sole proprietorship,,Home,,Yes,No,0,0,5000000
118,OTHER MANUFACTURING,CENTRAL,BUIKWE,KIYINDI,Luganda,Owner,,25-34,Male,Ugandan,Repair and installation of machinery and equipment,,2,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,No,0,0,2000000
119,AGRICULTURE,CENTRAL,MPIGI,LUGYO,English,Manager,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Co-operative,,Home,,No,No,0,0,500000
120,ACCOMODATION,CENTRAL,MPIGI,BUKASA/KAYABWE,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,Home,,No,No,0,0,300000
121,TRADING,CENTRAL,BUIKWE,KIYINDI,Luganda,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,500000
122,TRADING,CENTRAL,MPIGI,WARD A,English,Owner,,25-34,Male,Ugandan,Other personal service activities,,2,Single owner/sole proprietorship,,Home,,No,No,0,0,4000000
,,,,,,,,,,,,,,,,,,,,,,
125,ACCOMODATION,CENTRAL,MPIGI,WARD A,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,5,Single owner/sole proprietorship,,Home,,No,No,0,0,400000
126,FOOD PROCESSING,CENTRAL,MPIGI,TIRIBOGO,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,9,Single owner/sole proprietorship,,Other (please specify),Kapeeka Trading center,Yes,Yes,1,1,700000
,,,,,,,,,,,,,,,,,,,,,,
128,FINANCIAL,KAMPALA,KAMPALA,MBUYA I,English,Other (please state),Underwriter.,25-34,Female,Ugandan,"Financial service activities, except insurance and pension funding",,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,300000000
129,FINANCIAL,KAMPALA,KAMPALA,MBUYA I,English,Other (please state),Accontant,25-34,Male,Ugandan,Education,,22,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,150000000
,,,,,,,,,,,,,,,,,,,,,,
131,ACCOMODATION,NORTHERN,LIRA,BLUE CORNER,English,Manager,,35-50,Female,Ugandan,Food and beverage service activities,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,800000
132,OTHER MANUFACTURING,NORTHERN,LIRA,BAZZAR,English,Owner,,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",Education,9,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,700000
133,AGRICULTURE,CENTRAL,GOMBA,KANONI,English,Owner,,50+,Male,Ugandan,Manufacture of wearing apparel,,10,Single owner/sole proprietorship,,Home,,No,Yes,0,0,250000
135,INFORMATION & COMMUNICATION,NORTHERN,LIRA,IPITO AWENO,English,Manager,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,8,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,800000
136,OTHER MANUFACTURING,NORTHERN,LIRA,BAZZAR,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,Education,10,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,500000
137,TRADING,WESTERN,HOIMA,CENTRAL WARD,English,Manager,,35-50,Male,Others specify,Manufacture of wearing apparel,Manufacture of wearing apparel,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,380000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
142,AGRICULTURE,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,35-50,Male,Ugandan,Manufacture of wearing apparel,,12,Single owner/sole proprietorship,,Farm,,Yes,No,0,0,600000
143,AGRICULTURE,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,25-34,Male,Ugandan,Manufacture of wearing apparel,,14,Single owner/sole proprietorship,,Farm,,Yes,No,0,0,300000
144,FINANCIAL,EASTERN,IGANGA,NABITENDE,English,Manager,,25-34,Male,Ugandan,"Financial service activities, except insurance and pension funding",,7,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
145,FOOD PROCESSING,CENTRAL,WAKISO,CENTRAL,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,2,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,0
146,AGRICULTURE,WESTERN,MBARARA,RUTOOMA,English,Owner,,50+,Male,Ugandan,Repair and installation of machinery and equipment,,9,"Privately held, limited company",,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,4000000
147,TRADING,CENTRAL,WAKISO,NANSANA EAST,English,Owner,,35-50,Male,Ugandan,Land transport and transport via pipelines,,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1500000
149,OTHER MANUFACTURING,WESTERN,KABAROLE,RWENGOMA,English,Owner,,25-34,Male,Ugandan,Manufacture of wearing apparel,,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,480000
150,EDUCATION & HEALTH,CENTRAL,WAKISO,NABWERU,English,Owner,,35-50,Male,Ugandan,Activities of head offices; management consultancy activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,1000000
151,REAL ESTATE,CENTRAL,WAKISO,NANSANA EAST,Luganda,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
,,,,,,,,,,,,,,,,,,,,,,
155,ACCOMODATION,NORTHERN,ARUA,OTUMBARI,English,Owner,,35-50,Male,Ugandan,Programming and broadcasting activities,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,400000
156,AGRICULTURE,CENTRAL,MASAKA,NYENDO,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,12,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,1300000
158,OTHER MANUFACTURING,CENTRAL,GOMBA,KANONI,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,150000
159,AGRICULTURE,CENTRAL,MUKONO,NAGGALAMA,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,55,Single owner/sole proprietorship,,Home,,No,No,0,0,250000
,,,,,,,,,,,,,,,,,,,,,,
162,FINANCIAL,WESTERN,MBARARA,RUTOOMA,English,Owner,,35-50,Male,Ugandan,Publishing activities,,8,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,15720000
163,RECREATION & PERSONAL,WESTERN,BUSHENYI,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",Telecommunications,35,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,3000000
167,TRADING,CENTRAL,WAKISO,CENTRAL,English,Manager,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,23,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,30000000
168,REAL ESTATE,KAMPALA,KAMPALA,MUTUNGO,English,Owner,,35-50,Male,Ugandan,Education,,3,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
170,TRANSPORT & STORAGE,WESTERN,KABAROLE,RWENGOMA,English,Manager,,25-34,Male,Ugandan,Postal and courier activities,,2,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
171,FINANCIAL,WESTERN,BUSHENYI,NYABIRIZI,English,Manager,,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,7,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,30000000
172,AGRICULTURE,WESTERN,MBARARA,RUHARO,English,Owner,,35-50,Male,Ugandan,Manufacture of basic metals,,36,Single owner/sole proprietorship,,Farm,,No,No,0,0,150000
